,n_sim,Equipo,Desc,Motivo
473,158,Iquique,3,Partido Pen Abs vs Pen Pon
474,159,Iquique,1,Último Absoluta
475,159,Universidad de Concepción,2,Penúltimo Ponderada
476,159,Curicó Unido,3,Partido Pen Abs vs Ant Pon
477,160,Iquique,1,Último Absoluta
478,160,Universidad de Concepción,2,Penúltimo Ponderada
479,160,La Serena,3,Partido Pen Abs vs Ant Pon
480,161,Coquimbo Unido,1,Último Absoluta
481,161,Universidad de Concepción,2,Último Ponderada
482,161,Iquique,3,Partido Pen Abs vs Pen Pon
483,162,Coquimbo Unido,1,Último Absoluta
484,162,Iquique,2,Último Ponderada
485,162,Colo-Colo,3,Partido Ant Abs vs Pen Pon
486,163,Coquimbo Unido,1,Último Absoluta
487,163,Iquique,2,Último Ponderada
488,163,Colo-Colo,3,Partido Ant Abs vs Pen Pon
489,164,Coquimbo Unido,1,Último Absoluta
490,164,Universidad de Concepción,2,Último Ponderada
491,164,Iquique,3,Partido Pen Abs vs Pen Pon
492,165,Iquique,1,Último Absoluta
493,165,Universidad de Concepción,2,Penúltimo Ponderada
494,165,Curicó Unido,3,Partido Pen Abs vs Ant Pon
495,166,Coquimbo Unido,1,Último Absoluta
496,166,Universidad de Concepción,2,Último Ponderada
497,166,Iquique,3,Partido Pen Abs vs Pen Pon
498,167,Iquique,1,Último Absoluta
499,167,Universidad de Concepción,2,Penúltimo Ponderada
500,167,La Serena,3,Partido Pen Abs vs Ant Pon
501,168,Coquimbo Unido,1,Último Absoluta
502,168,Iquique,2,Último Ponderada
503,168,Colo-Colo,3,Partido Ant Abs vs Pen Pon
504,169,Coquimbo Unido,1,Último Absoluta
505,169,Universidad de Concepción,2,Último Ponderada
506,169,Iquique,3,Partido Pen Abs vs Pen Pon
507,170,Coquimbo Unido,1,Último Absoluta
508,170,Iquique,2,Último Ponderada
509,170,La Serena,3,Partido Ant Abs vs Pen Pon
510,171,Coquimbo Unido,1,Último Absoluta
511,171,Universidad de Concepción,2,Último Ponderada
512,171,Iquique,3,Partido Pen Abs vs Pen Pon
513,172,Coquimbo Unido,1,Último Absoluta
514,172,Universidad de Concepción,2,Último Ponderada
515,172,Iquique,3,Partido Pen Abs vs Pen Pon
516,173,Coquimbo Unido,1,Último Absoluta
517,173,Iquique,2,Último Ponderada
518,173,Colo-Colo,3,Partido Ant Abs vs Pen Pon
519,174,Coquimbo Unido,1,Último Absoluta
520,174,Iquique,2,Último Ponderada
521,174,Audax Italiano,3,Partido Ant Abs vs Pen Pon
522,175,Coquimbo Unido,1,Último Absoluta
523,175,Universidad de Concepción,2,Último Ponderada
524,175,Iquique,3,Partido Pen Abs vs Pen Pon
525,176,Coquimbo Unido,1,Último Absoluta
526,176,Iquique,2,Último Ponderada
527,176,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
528,177,Iquique,1,Último Absoluta
529,177,Universidad de Concepción,2,Penúltimo Ponderada
530,177,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
531,178,Coquimbo Unido,1,Último Absoluta
532,178,Iquique,2,Último Ponderada
533,178,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
534,179,Coquimbo Unido,1,Último Absoluta
535,179,Iquique,2,Último Ponderada
536,179,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
537,180,Iquique,1,Último Absoluta
538,180,Universidad de Concepción,2,Penúltimo Ponderada
539,180,Curicó Unido,3,Partido Pen Abs vs Ant Pon
540,181,Iquique,1,Último Absoluta
